TIME,ARB
0.005042308,0.4008
0.005044231,-0.4082
0.005046154,0.4295
0.005048077,-0.4082
0.00505,0.4295
0.005051923,-0.414
0.005053846,0.4018
0.005055769,-0.3867
0.005057692,0.4295
0.005059615,-0.4032
0.005061538,0.3865
0.005063462,-0.3867
0.005065385,0.3968
0.005067308,-0.352
0.005069231,0.4078
0.005071154,-0.3652
0.005073077,0.3597
0.005075,-0.3545
0.005076923,0.3328
0.005078846,-0.3385
0.005080769,0.3534
0.005082692,-0.3224
0.005084615,0.3643
0.005086538,-0.3424
0.005088462,0.3221
0.005090385,-0.3223
0.005092308,0.2899
0.005094231,-0.2578
0.005096154,0.2899
0.005098077,-0.2041
0.0051,0.2202
0.005101923,-0.2239
0.005103846,0.1717
0.005105769,-0.2285
0.005107692,0.1645
0.005109615,-0.2578
0.005111538,0.5
0.005113462,-0.1827
0.005115385,-0.2793
0.005117308,0.3436
0.005119231,-0.3652
0.005121154,0.4295
0.005123077,-0.4082
0.005125,0.3758
0.005126923,-0.3437
0.005128846,0.4197
0.005130769,-0.4189
0.005132692,0.3752
0.005134615,0
0.005136538,-0.2149
0.005138462,0.3973
0.005140385,-0.4404
0.005142308,0.4008
0.005144231,-0.4082
0.005146154,0.4295
0.005148077,-0.4082
0.00515,0.4295
0.005151923,-0.414
0.005153846,0.4018
0.005155769,-0.3867
0.005157692,0.4295
0.005159615,-0.4032
0.005161538,0.3865
0.005163462,-0.3867
0.005165385,0.3968
0.005167308,-0.352
0.005169231,0.4078
0.005171154,-0.3652
0.005173077,0.3597
0.005175,-0.3545
0.005176923,0.3328
0.005178846,-0.3385
0.005180769,0.3534
0.005182692,-0.3224
0.005184615,0.3643
0.005186538,-0.3424
0.005188462,0.3221
0.005190385,-0.3223
0.005192308,0.2899
0.005194231,-0.2578
0.005196154,0.2899
0.005198077,-0.2041
0.0052,0.2202
0.005201923,-0.2239
0.005203846,0.1717
0.005205769,-0.2285
0.005207692,0.1645
0.005209615,-0.2578
0.005211538,0.5
0.005213462,-0.1827
0.005215385,-0.2793
0.005217308,0.3436
0.005219231,-0.3652
0.005221154,0.4295
0.005223077,-0.4082
0.005225,0.3758
0.005226923,-0.3437
0.005228846,0.4197
0.005230769,-0.4189
0.005232692,0.3752
0.005234615,0
0.005236538,-0.2149
0.005238462,0.3973
0.005240385,-0.4404
0.005242308,0.4008
0.005244231,-0.4082
0.005246154,0.4295
0.005248077,-0.4082
0.00525,0.4295
0.005251923,-0.414
0.005253846,0.4018
0.005255769,-0.3867
0.005257692,0.4295
0.005259615,-0.4032
0.005261538,0.3865
0.005263462,-0.3867
0.005265385,0.3968
0.005267308,-0.352
0.005269231,0.4078
0.005271154,-0.3652
0.005273077,0.3597
0.005275,-0.3545
0.005276923,0.3328
0.005278846,-0.3385
